block,lam,train,test,learned_over_loc,perfect_over_loc,capture,pred_corr
A,0.1,contact-primary-school,contact-high-school,0.9895330480072276,1.3149893580660719,-0.0332295416487589,0.3081924228620898
A,0.1,contact-primary-school,email-Enron,1.0422176091983384,1.80346655331272,0.05254432685999653,0.4808239923327607
A,0.1,contact-primary-school,email-Eu,1.2993106311897722,1.6725121109900603,0.44506355543416526,0.8193579084142227
A,0.1,contact-primary-school,NDC-classes,1.499677509393203,4.08325149712881,0.16206187197460653,0.6267802733329663
A,0.1,contact-primary-school,NDC-substances,1.6052733674206174,1.9382074303228396,0.6451381089705731,0.8842740925865927
A,0.1,contact-primary-school,DAWN,0.9912189247096331,1.0417909408473682,-0.21011910984339216,0.9357820491382678
A,0.1,contact-primary-school,congress-bills,1.0110896390586486,1.066851977621039,0.1658834854746099,0.6234867263253635
A,0.1,contact-primary-school,tags-math-sx,1.1377303571679556,1.1319030898951705,1.044178398530438,0.9482261994558421
A,0.1,contact-primary-school,tags-ask-ubuntu,1.2220422971732863,1.1923896562998082,1.1541280412044046,0.9448695602220223
A,0.1,contact-high-school,contact-primary-school,1.0284501167364801,1.1318799492854903,0.21572738608575023,0.7255644265177709
A,0.1,contact-high-school,email-Enron,1.0110822448434618,1.80346655331272,0.013793038176597754,0.4009538661835391
A,0.1,contact-high-school,email-Eu,1.1794776810403624,1.6725121109900603,0.26687650394301243,0.7385475102912762
A,0.1,contact-high-school,NDC-classes,1.8360297030134491,4.08325149712881,0.27115196531712643,0.6735578544933468
A,0.1,contact-high-school,NDC-substances,1.5638630408795864,1.9382074303228396,0.6010003999707823,0.9002723241160908
A,0.1,contact-high-school,DAWN,1.0364992685128107,1.0417909408473682,0.8733775256727497,0.9654929275296523
A,0.1,contact-high-school,congress-bills,1.032678685289661,1.066851977621039,0.48882151961016457,0.8817196346325249
A,0.1,contact-high-school,tags-math-sx,1.0885515308325862,1.1319030898951705,0.6713378049214931,0.9334245632515571
A,0.1,contact-high-school,tags-ask-ubuntu,1.1360415503672017,1.1923896562998082,0.7071146806104944,0.9354740203422345
A,0.1,email-Enron,contact-primary-school,1.0265745995012527,1.1318799492854903,0.20150598817508442,0.7627463432978505
A,0.1,email-Enron,contact-high-school,0.9614958876946293,1.3149893580660719,-0.12223940688591158,0.2498039335735639
A,0.1,email-Enron,email-Eu,1.206468910545851,1.6725121109900603,0.3070114384139361,0.8049569252737359
A,0.1,email-Enron,NDC-classes,1.433135519303916,4.08325149712881,0.1404801131880617,0.6033396551540889
A,0.1,email-Enron,NDC-substances,1.396169615080251,1.9382074303228396,0.42226228686328776,0.8402933199533117
A,0.1,email-Enron,DAWN,0.958878425966364,1.0417909408473682,-0.9839829685534742,0.7881849406556044
A,0.1,email-Enron,congress-bills,0.9787595790713666,1.066851977621039,-0.3177231502265813,0.5670384359489006
A,0.1,email-Enron,tags-math-sx,1.054099517637659,1.1319030898951705,0.41014594639636165,0.8799389694369769
A,0.1,email-Enron,tags-ask-ubuntu,1.1106936243107495,1.1923896562998082,0.5753616199524331,0.8860532011957298
A,0.1,email-Eu,contact-primary-school,1.0718117980899207,1.1318799492854903,0.5445240044372807,0.7771684424139397
A,0.1,email-Eu,contact-high-school,0.9821504452605335,1.3149893580660719,-0.056667167580062724,0.2990718152980188
A,0.1,email-Eu,email-Enron,1.0739689664436567,1.80346655331272,0.09206228453279121,0.49668120800709536
A,0.1,email-Eu,NDC-classes,1.7289518082699453,4.08325149712881,0.23642307769857923,0.6757461572141533
A,0.1,email-Eu,NDC-substances,1.7262167676175633,1.9382074303228396,0.7740471287545337,0.9036585940283108
A,0.1,email-Eu,DAWN,0.9673688014083358,1.0417909408473682,-0.7808199080954438,0.9279106888896631
A,0.1,email-Eu,congress-bills,1.0175768041367033,1.066851977621039,0.2629212292916771,0.7333565833400334
A,0.1,email-Eu,tags-math-sx,1.1528003371348592,1.1319030898951705,1.1584287923527543,0.9436356115835205
A,0.1,email-Eu,tags-ask-ubuntu,1.242921922807419,1.1923896562998082,1.2626558385699516,0.940835906473322
A,0.1,NDC-classes,contact-primary-school,1.0035426370319147,1.1318799492854903,0.02686259018985289,0.7438535838465365
A,0.1,NDC-classes,contact-high-school,0.9598179004965064,1.3149893580660719,-0.12756653034311416,0.3239514726867634
A,0.1,NDC-classes,email-Enron,0.9848810257798059,1.80346655331272,-0.018817179331060016,0.4723124785623647
A,0.1,NDC-classes,email-Eu,1.1322320022879924,1.6725121109900603,0.19662397171304885,0.7731647046220194
A,0.1,NDC-classes,NDC-substances,1.3835603921374515,1.9382074303228396,0.4088225905495839,0.8881982043816324
A,0.1,NDC-classes,DAWN,0.9333702250455276,1.0417909408473682,-1.594359294226524,0.9418158221727028
A,0.1,NDC-classes,congress-bills,0.9766115056523658,1.066851977621039,-0.349854935933468,0.7548358754399923
A,0.1,NDC-classes,tags-math-sx,0.985907170903354,1.1319030898951705,-0.10684229693061945,0.9256648719229092
A,0.1,NDC-classes,tags-ask-ubuntu,1.0042963118302044,1.1923896562998082,0.0223313036305304,0.9156865852397309
A,0.1,NDC-substances,contact-primary-school,1.0599595648266957,1.1318799492854903,0.4546526227189914,0.7750820308747476
A,0.1,NDC-substances,contact-high-school,0.9881799191550966,1.3149893580660719,-0.03752533392707195,0.33945313347055983
A,0.1,NDC-substances,email-Enron,1.045679167409815,1.80346655331272,0.056852606025077405,0.472106644113372
A,0.1,NDC-substances,email-Eu,1.350899561933114,1.6725121109900603,0.5217743386309072,0.826406651489505
A,0.1,NDC-substances,NDC-classes,1.8624936044509994,4.08325149712881,0.2797350800783433,0.7300619303018769
A,0.1,NDC-substances,DAWN,0.9734789152085968,1.0417909408473682,-0.634613249992753,0.9656793270880715
A,0.1,NDC-substances,congress-bills,1.0196849073477205,1.066851977621039,0.29445512381559685,0.825374945022305
A,0.1,NDC-substances,tags-math-sx,1.134241375002409,1.1319030898951705,1.0177272959192751,0.9684628390130428
A,0.1,NDC-substances,tags-ask-ubuntu,1.2152608353009897,1.1923896562998082,1.1188794628622887,0.9708556246854501
A,0.1,DAWN,contact-primary-school,1.0301395179176465,1.1318799492854903,0.22853753038986402,0.7573833542528405
A,0.1,DAWN,contact-high-school,0.9903052278253368,1.3149893580660719,-0.03077809432733161,0.35867860018850223
A,0.1,DAWN,email-Enron,1.0255170639098914,1.80346655331272,0.03175871329638261,0.4612954921164355
A,0.1,DAWN,email-Eu,1.212760277285215,1.6725121109900603,0.3163664621176758,0.7974861101523864
A,0.1,DAWN,NDC-classes,1.8785105463367047,4.08325149712881,0.2849299018113808,0.6975445831417014
A,0.1,DAWN,NDC-substances,1.5813355048175803,1.9382074303228396,0.6196236418822022,0.9207543691515908
A,0.1,DAWN,congress-bills,1.0177157309528897,1.066851977621039,0.2649993550424808,0.8785951939936961
A,0.1,DAWN,tags-math-sx,1.0804228151434496,1.1319030898951705,0.6097113813434192,0.9665003426623301
A,0.1,DAWN,tags-ask-ubuntu,1.1345015803836436,1.1923896562998082,0.699110248287177,0.9698181550360738
A,0.1,congress-bills,contact-primary-school,1.033955989808431,1.1318799492854903,0.2574765155158189,0.7224031390741685
A,0.1,congress-bills,contact-high-school,1.002157105027398,1.3149893580660719,0.006848183826405983,0.37035409292053645
A,0.1,congress-bills,email-Enron,0.9979508898929211,1.80346655331272,-0.0025503365368854686,0.38930726945725097
A,0.1,congress-bills,email-Eu,1.223544547403897,1.6725121109900603,0.3324022627262412,0.7993471559816651
A,0.1,congress-bills,NDC-classes,1.6248775330912912,4.08325149712881,0.20266836282190753,0.7448628989984992
A,0.1,congress-bills,NDC-substances,1.6530330373068511,1.9382074303228396,0.6960433441484691,0.9400421163856296
A,0.1,congress-bills,DAWN,1.0248632711253902,1.0417909408473682,0.5949440386182637,0.9609157003089179
A,0.1,congress-bills,tags-math-sx,1.0910984076641639,1.1319030898951705,0.6906465021900852,0.935784481490129
A,0.1,congress-bills,tags-ask-ubuntu,1.1434813601214988,1.1923896562998082,0.7457852094600466,0.9388570926168708
A,0.1,tags-math-sx,contact-primary-school,1.0394800656727161,1.1318799492854903,0.2993636704185463,0.7703638405312709
A,0.1,tags-math-sx,contact-high-school,0.9856391204771439,1.3149893580660719,-0.04559163398734194,0.34015630894010396
A,0.1,tags-math-sx,email-Enron,1.0386944580116428,1.80346655331272,0.048159388654206284,0.48165333463904214
A,0.1,tags-math-sx,email-Eu,1.257223567672684,1.6725121109900603,0.3824816883877437,0.818385756665604
A,0.1,tags-math-sx,NDC-classes,1.8406118246606982,4.08325149712881,0.27263809826849805,0.6884599533261826
A,0.1,tags-math-sx,NDC-substances,1.6176460746288728,1.9382074303228396,0.6583257120617124,0.9204108478691013
A,0.1,tags-math-sx,DAWN,0.99763177338482,1.0417909408473682,-0.056668420647177885,0.9728187271641155
A,0.1,tags-math-sx,congress-bills,1.0148785787480923,1.066851977621039,0.22256003902283727,0.8422001077144934
A,0.1,tags-math-sx,tags-ask-ubuntu,1.1663778847407822,1.1923896562998082,0.8647964133867423,0.9774530907005168
A,0.1,tags-ask-ubuntu,contact-primary-school,1.0382015233416364,1.1318799492854903,0.2896689265396875,0.7685973552284014
A,0.1,tags-ask-ubuntu,contact-high-school,0.9844274425768831,1.3149893580660719,-0.04943836045359486,0.3393198627420219
A,0.1,tags-ask-ubuntu,email-Enron,1.038237371728842,1.80346655331272,0.04759049592193728,0.4819587288931301
A,0.1,tags-ask-ubuntu,email-Eu,1.253750248881332,1.6725121109900603,0.3773169950913826,0.8198975054039556
A,0.1,tags-ask-ubuntu,NDC-classes,1.8410413654280449,4.08325149712881,0.27277741248524184,0.6981833858458719
A,0.1,tags-ask-ubuntu,NDC-substances,1.6125319220326573,1.9382074303228396,0.6528747292289974,0.9212936791275792
A,0.1,tags-ask-ubuntu,DAWN,0.9965449964641832,1.0417909408473682,-0.08267350449073282,0.9725059058741833
A,0.1,tags-ask-ubuntu,congress-bills,1.0138305117039932,1.066851977621039,0.20688261134761976,0.8447412662674124
A,0.1,tags-ask-ubuntu,tags-math-sx,1.0951535563685126,1.1319030898951705,0.7213898965076221,0.9736056387487394
A,1.0,contact-primary-school,contact-high-school,0.9895373567613118,1.3149893580660719,-0.033215862602232867,0.3082182150848923
A,1.0,contact-primary-school,email-Enron,1.0422181509150361,1.80346655331272,0.05254500108432545,0.48082728213559056
A,1.0,contact-primary-school,email-Eu,1.2992906185272277,1.6725121109900603,0.4450337973640615,0.8193634752521396
A,1.0,contact-primary-school,NDC-classes,1.4998945250325315,4.08325149712881,0.16213225729332947,0.6268884959072557
A,1.0,contact-primary-school,NDC-substances,1.6053099209378243,1.9382074303228396,0.6451770699892406,0.8843320309310311
A,1.0,contact-primary-school,DAWN,0.9912385514545036,1.0417909408473682,-0.2096494687089147,0.9358223202493808
A,1.0,contact-primary-school,congress-bills,1.0111016811877949,1.066851977621039,0.1660636167074443,0.6236726238251127
A,1.0,contact-primary-school,tags-math-sx,1.1377257419324434,1.1319030898951705,1.0441434089368216,0.9482528110122577
A,1.0,contact-primary-school,tags-ask-ubuntu,1.2220339627625123,1.1923896562998082,1.1540847207321179,0.9449005607154418
A,1.0,contact-high-school,contact-primary-school,1.0284422652572136,1.1318799492854903,0.2156678510365706,0.7255810814342567
A,1.0,contact-high-school,email-Enron,1.0110842647404497,1.80346655331272,0.01379555215428552,0.4009910163396749
A,1.0,contact-high-school,email-Eu,1.1794571947290589,1.6725121109900603,0.26684604157516983,0.7385717226090478
A,1.0,contact-high-school,NDC-classes,1.836044274252021,4.08325149712881,0.271156691249664,0.6735668594626328
A,1.0,contact-high-school,NDC-substances,1.5638114324017118,1.9382074303228396,0.6009453924359807,0.9002878001865553
A,1.0,contact-high-school,DAWN,1.0364857234867515,1.0417909408473682,0.8730534117431619,0.9655057313857236
A,1.0,contact-high-school,congress-bills,1.0326679864645834,1.066851977621039,0.4886614820845988,0.8817533724443806
A,1.0,contact-high-school,tags-math-sx,1.0885241900246472,1.1319030898951705,0.6711305254107499,0.9334426470684567
A,1.0,contact-high-school,tags-ask-ubuntu,1.1360060943037273,1.1923896562998082,0.7069303876284483,0.9354922622714574
A,1.0,email-Enron,contact-primary-school,1.0266005075416624,1.1318799492854903,0.20170243987642386,0.762855340544809
A,1.0,email-Enron,contact-high-school,0.9616267284587825,1.3149893580660719,-0.12182402534744796,0.25008768420161537
A,1.0,email-Enron,email-Eu,1.2064434296754771,1.6725121109900603,0.3069735493262044,0.8052295129756715
A,1.0,email-Enron,NDC-classes,1.4338689687458641,4.08325149712881,0.1407179949964809,0.6037195257355811
A,1.0,email-Enron,NDC-substances,1.3966339712452078,1.9382074303228396,0.42275722662815096,0.8408028552665466
A,1.0,email-Enron,DAWN,0.9591860526719004,1.0417909408473682,-0.9766218826506717,0.7895545550796579
A,1.0,email-Enron,congress-bills,0.9789303634879426,1.066851977621039,-0.3151684850894608,0.5680983494765968
A,1.0,email-Enron,tags-math-sx,1.0543098214680313,1.1319030898951705,0.4117403277754436,0.8805580089352245
A,1.0,email-Enron,tags-ask-ubuntu,1.1109446229111064,1.1923896562998082,0.576666256621495,0.886658450409883
A,1.0,email-Eu,contact-primary-school,1.0718113466483448,1.1318799492854903,0.5445205813120949,0.7771676190385894
A,1.0,email-Eu,contact-high-school,0.9821554975067012,1.3149893580660719,-0.05665112816146565,0.2990786232645806
A,1.0,email-Eu,email-Enron,1.0739693365258534,1.80346655331272,0.09206274513963929,0.49667614450448094
A,1.0,email-Eu,NDC-classes,1.7289829997036754,4.08325149712881,0.23643319410775282,0.6757537459969022
A,1.0,email-Eu,NDC-substances,1.7262327737741754,1.9382074303228396,0.7740641891146363,0.9036633555751075
