block,train,test,perfect_over_loc,ridge_over_loc,ridge_capture,ridge_corr,gbt_over_loc,gbt_capture,gbt_corr,paired_diff
A,contact-primary-school,contact-high-school,1.3149893580660719,0.9895373567613118,-0.033215862602232867,0.3082182150848923,0.9833944147656899,-0.05271792461898644,0.2824655378004655,-0.01950206201675357
A,contact-primary-school,email-Enron,1.80346655331272,1.0422181509150361,0.05254500108432545,0.48082728213559056,1.0057773331879956,0.007190508633091716,0.42625001042729227,-0.045354492451233734
A,contact-primary-school,email-Eu,1.6725121109900603,1.2992906185272277,0.4450337973640615,0.8193634752521396,1.2438032808716724,0.3625262309592455,0.8054901020686196,-0.08250756640481599
A,contact-primary-school,NDC-classes,4.08325149712881,1.4998945250325315,0.16213225729332947,0.6268884959072557,1.294190857983434,0.09541578371319721,0.6120199609420979,-0.06671647358013226
A,contact-primary-school,NDC-substances,1.9382074303228396,1.6053099209378243,0.6451770699892406,0.8843320309310311,1.3648343413386905,0.3888631975693798,0.8754695910012518,-0.2563138724198608
A,contact-primary-school,DAWN,1.0417909408473682,0.9912385514545036,-0.2096494687089147,0.9358223202493808,1.0425307492307774,1.0177026017698698,0.8761807729993026,1.2273520704787846
A,contact-primary-school,congress-bills,1.066851977621039,1.0111016811877949,0.1660636167074443,0.6236726238251127,0.9971788175669546,-0.04220043345669935,0.42253080680418476,-0.20826405016414365
A,contact-primary-school,tags-math-sx,1.1319030898951705,1.1377257419324434,1.0441434089368216,0.9482528110122577,1.0545525241544713,0.4135803353645978,0.844140404076172,-0.6305630735722237
A,contact-primary-school,tags-ask-ubuntu,1.1923896562998082,1.2220339627625123,1.1540847207321179,0.9449005607154418,1.0908421669525226,0.47217801985653385,0.8520619714942967,-0.681906700875584
A,contact-high-school,contact-primary-school,1.1318799492854903,1.0284422652572136,0.2156678510365706,0.7255810814342567,1.0264403561359883,0.20048806720990525,0.5928142427200496,-0.01517978382666535
A,contact-high-school,email-Enron,1.80346655331272,1.0110842647404497,0.01379555215428552,0.4009910163396749,1.091409439561364,0.11376881736331126,0.4168784815635045,0.09997326520902575
A,contact-high-school,email-Eu,1.6725121109900603,1.1794571947290589,0.26684604157516983,0.7385717226090478,1.0395889811216368,0.0588673132790941,0.6290384357007927,-0.20797872829607572
A,contact-high-school,NDC-classes,4.08325149712881,1.836044274252021,0.271156691249664,0.6735668594626328,1.7149901343939207,0.23189484706639563,0.6833457651046718,-0.03926184418326839
A,contact-high-school,NDC-substances,1.9382074303228396,1.5638114324017118,0.6009453924359807,0.9002878001865553,1.1351539521463638,0.14405551243594075,0.7169737138523745,-0.45688988000003994
A,contact-high-school,DAWN,1.0417909408473682,1.0364857234867515,0.8730534117431619,0.9655057313857236,0.9998483079646125,-0.003629782730699267,0.8278240312033313,-0.8766831944738611
A,contact-high-school,congress-bills,1.066851977621039,1.0326679864645834,0.4886614820845988,0.8817533724443806,0.9885731762455311,-0.17092723597862222,0.21433740162563855,-0.6595887180632211
A,contact-high-school,tags-math-sx,1.1319030898951705,1.0885241900246472,0.6711305254107499,0.9334426470684567,0.9808134563130543,-0.1454593952438427,0.7073171342085132,-0.8165899206545926
A,contact-high-school,tags-ask-ubuntu,1.1923896562998082,1.1360060943037273,0.7069303876284483,0.9354922622714574,0.9893651165918428,-0.05527783360444528,0.734028925272062,-0.7622082212328936
A,email-Enron,contact-primary-school,1.1318799492854903,1.0266005075416624,0.20170243987642386,0.762855340544809,0.9596224663373403,-0.30616885949244255,0.3074497330958921,-0.5078712993688664
A,email-Enron,contact-high-school,1.3149893580660719,0.9616267284587825,-0.12182402534744796,0.25008768420161537,0.9721950467776432,-0.08827267496613148,0.20138607378475715,0.033551350381316486
A,email-Enron,email-Eu,1.6725121109900603,1.2064434296754771,0.3069735493262044,0.8052295129756715,0.9825457427330971,-0.025953818498832708,0.4986961062960117,-0.3329273678250371
